Date,Total_Cases,Total_Deaths,New_Cases,New_Deaths,Change_In_Cases,Change_In_Deaths,Death_Percent
2021-05-25,33232419,590484,22581,695,-11.78%,22.36%,1.78%
2021-05-26,33256023,591450,23604,966,4.53%,38.99%,1.78%
2021-05-27,33283643,592789,27620,1339,17.01%,38.61%,1.78%
2021-05-28,33305370,593432,21727,643,-21.34%,-51.98%,1.78%
2021-05-29,33316960,593770,11590,338,-46.66%,-47.43%,1.78%
2021-05-30,33324388,593901,7428,131,-35.91%,-61.24%,1.78%
2021-05-31,33329990,594051,5602,150,-24.58%,14.50%,1.78%
2021-06-01,33352495,594570,22505,519,301.73%,246.00%,1.78%
2021-06-02,33369742,595168,17247,598,-23.36%,15.22%,1.78%
2021-06-03,33389227,595782,19485,614,12.98%,2.68%,1.78%
2021-06-04,33403499,596328,14272,546,-26.75%,-11.07%,1.79%
2021-06-05,33413936,596698,10437,370,-26.87%,-32.23%,1.79%
2021-06-06,33420003,596951,6067,253,-41.87%,-31.62%,1.79%
2021-06-07,33433710,597256,13707,305,125.93%,20.55%,1.79%
2021-06-08,33448758,597629,15048,373,9.78%,22.30%,1.79%
2021-06-09,33471072,598078,22314,449,48.29%,20.38%,1.79%
2021-06-10,33485230,598569,14158,491,-36.55%,9.35%,1.79%
2021-06-11,33501205,599098,15975,529,12.83%,7.74%,1.79%
2021-06-12,33511087,599215,9882,117,-38.14%,-77.88%,1.79%
2021-06-13,33519085,599408,7998,193,-19.06%,64.96%,1.79%
2021-06-14,33530150,599592,11065,184,38.35%,-4.66%,1.79%
2021-06-15,33544316,600016,14166,424,28.03%,130.43%,1.79%
2021-06-16,33557807,600425,13491,409,-4.76%,-3.54%,1.79%
2021-06-17,33569048,600728,11241,303,-16.68%,-25.92%,1.79%
2021-06-18,33583946,601213,14898,485,32.53%,60.07%,1.79%
2021-06-19,33593048,601396,9102,183,-38.90%,-62.27%,1.79%
2021-06-20,33598245,601490,5197,94,-42.90%,-48.63%,1.79%
2021-06-21,33608932,601722,10687,232,105.64%,146.81%,1.79%
2021-06-22,33623616,602135,14684,413,37.40%,78.02%,1.79%
2021-06-23,33636769,602505,13153,370,-10.43%,-10.41%,1.79%
2021-06-24,33652613,602914,15844,409,20.46%,10.54%,1.79%
2021-06-25,33670180,603386,17567,472,10.87%,15.40%,1.79%
2021-06-26,33679062,603565,8882,179,-49.44%,-62.08%,1.79%
2021-06-27,33685636,603687,6574,122,-25.99%,-31.84%,1.79%
2021-06-28,33699392,603836,13756,149,109.25%,22.13%,1.79%
2021-06-29,33716391,604227,16999,391,23.58%,162.42%,1.79%
2021-06-30,33727866,604498,11475,271,-32.50%,-30.69%,1.79%
2021-07-01,33745253,604803,17387,305,51.52%,12.55%,1.79%
2021-07-02,33763166,605166,17913,363,3.03%,19.02%,1.79%
2021-07-03,33771023,605280,7857,114,-56.14%,-68.60%,1.79%
2021-07-04,33774388,605312,3365,32,-57.17%,-71.93%,1.79%
2021-07-05,33779354,605362,4966,50,47.58%,56.25%,1.79%
2021-07-06,33804044,605693,24690,331,397.18%,562.00%,1.79%
2021-07-07,33823961,606025,19917,332,-19.33%,0.30%,1.79%
2021-07-08,33855006,606339,31045,314,55.87%,-5.42%,1.79%
2021-07-09,33888934,606788,33928,449,9.29%,42.99%,1.79%
2021-07-10,33903637,606901,14703,113,-56.66%,-74.83%,1.79%
2021-07-11,33908983,606943,5346,42,-63.64%,-62.83%,1.79%
2021-07-12,33942933,607198,33950,255,535.05%,507.14%,1.79%
2021-07-13,33983899,607604,40966,406,20.67%,59.22%,1.79%
2021-07-14,34021864,608002,37965,398,-7.33%,-1.97%,1.79%
2021-07-15,34059504,608327,37640,325,-0.86%,-18.34%,1.79%
2021-07-16,34101561,608680,42057,353,11.73%,8.62%,1.78%
2021-07-17,34122906,608807,21345,127,-49.25%,-64.02%,1.78%
2021-07-18,34130860,608837,7954,30,-62.74%,-76.38%,1.78%
2021-07-19,34185918,609050,55058,213,592.21%,610.00%,1.78%
2021-07-20,34248474,609364,62556,314,13.62%,47.42%,1.78%
2021-07-21,34304977,609699,56503,335,-9.68%,6.69%,1.78%
2021-07-22,34367584,610069,62607,370,10.80%,10.45%,1.78%
2021-07-23,34437848,610570,70264,501,12.23%,35.41%,1.77%
2021-07-24,34473750,610688,35902,118,-48.90%,-76.45%,1.77%
2021-07-25,34487062,610721,13312,33,-62.92%,-72.03%,1.77%
2021-07-26,34577822,611087,90760,366,581.79%,1009.09%,1.77%
2021-07-27,34682073,611444,104251,357,14.86%,-2.46%,1.76%
2021-07-28,34769590,611983,87517,539,-16.05%,50.98%,1.76%
2021-07-29,34858095,612384,88505,401,1.13%,-25.60%,1.76%
2021-07-30,34961070,612966,102975,582,16.35%,45.14%,1.75%
2021-07-31,35018951,613231,57881,265,-43.79%,-54.47%,1.75%
2021-08-01,35036367,613297,17416,66,-69.91%,-75.09%,1.75%
2021-08-02,35173816,613732,137449,435,689.21%,559.09%,1.74%
2021-08-03,35315441,614409,141625,677,3.04%,55.63%,1.74%
2021-08-04,35435054,615052,119613,643,-15.54%,-5.02%,1.74%
2021-08-05,35555780,615635,120726,583,0.93%,-9.33%,1.73%
2021-08-06,35695786,616395,140006,760,15.97%,30.36%,1.73%
2021-08-07,35782962,616628,87176,233,-37.73%,-69.34%,1.72%
2021-08-08,35816843,616862,33881,234,-61.13%,0.43%,1.72%
2021-08-09,35976638,617294,159795,432,371.64%,84.62%,1.72%
2021-08-10,36140863,618298,164225,1004,2.77%,132.41%,1.71%
2021-08-11,36259068,618792,118205,494,-28.02%,-50.80%,1.71%
2021-08-12,36406675,619494,147607,702,24.87%,42.11%,1.70%
2021-08-13,36583662,620740,176987,1246,19.90%,77.49%,1.70%
2021-08-14,36683815,620986,100153,246,-43.41%,-80.26%,1.69%
2021-08-15,36728372,621268,44557,282,-55.51%,14.63%,1.69%
2021-08-16,36911322,621855,182950,587,310.60%,108.16%,1.68%
2021-08-17,37071790,622639,160468,784,-12.29%,33.56%,1.68%
2021-08-18,37234784,623722,162994,1083,1.57%,38.14%,1.68%
2021-08-19,37384768,625489,149984,1767,-7.98%,63.16%,1.67%
2021-08-20,37569652,626969,184884,1480,23.27%,-16.24%,1.67%
2021-08-21,37667630,627534,97978,565,-47.01%,-61.82%,1.67%
2021-08-22,37710222,627754,42592,220,-56.53%,-61.06%,1.66%
2021-08-23,37958710,629047,248488,1293,483.41%,487.73%,1.66%
2021-08-24,38112006,630365,153296,1318,-38.31%,1.93%,1.65%
2021-08-25,38288432,631667,176426,1302,15.09%,-1.21%,1.65%
2021-08-26,38472706,633933,184274,2266,4.45%,74.04%,1.65%
2021-08-27,38662755,635363,190049,1430,3.13%,-36.89%,1.64%
2021-08-28,38763708,636085,100953,722,-46.88%,-49.51%,1.64%
2021-08-29,38803441,636253,39733,168,-60.64%,-76.73%,1.64%
2021-08-30,39064114,638367,260673,2114,556.06%,1158.33%,1.63%
2021-08-31,39235551,639727,171437,1360,-34.23%,-35.67%,1.63%
2021-09-01,39439139,641493,203588,1766,18.75%,29.85%,1.63%
2021-09-02,39616080,644530,176941,3037,-13.09%,71.97%,1.63%
2021-09-03,39809138,646165,193058,1635,9.11%,-46.16%,1.62%
2021-09-04,39882404,646817,73266,652,-62.05%,-60.12%,1.62%
2021-09-05,39931356,647224,48952,407,-33.19%,-37.58%,1.62%
2021-09-06,40060776,648855,129420,1631,164.38%,300.74%,1.62%
2021-09-07,40298824,650276,238048,1421,83.93%,-12.88%,1.61%
2021-09-08,40484455,652161,185631,1885,-22.02%,32.65%,1.61%
2021-09-09,40646475,655461,162020,3300,-12.72%,75.07%,1.61%
2021-09-10,40831474,657497,184999,2036,14.18%,-38.30%,1.61%
2021-09-11,40917770,658452,86296,955,-53.35%,-53.09%,1.61%
2021-09-12,40960588,658798,42818,346,-50.38%,-63.77%,1.61%
2021-09-13,41209839,661222,249251,2424,482.12%,600.58%,1.60%
2021-09-14,41379297,663438,169458,2216,-32.01%,-8.58%,1.60%
2021-09-15,41551381,665763,172084,2325,1.55%,4.92%,1.60%
2021-09-16,41703740,669272,152359,3509,-11.46%,50.92%,1.60%
2021-09-17,41869287,671571,165547,2299,8.66%,-34.48%,1.60%
2021-09-18,41952896,672527,83609,956,-49.50%,-58.42%,1.60%
2021-09-19,41992077,672887,39181,360,-53.14%,-62.34%,1.60%
2021-09-20,42180821,675534,188744,2647,381.72%,635.28%,1.60%
2021-09-21,42313699,677806,132878,2272,-29.60%,-14.17%,1.60%
2021-09-22,42462572,680336,148873,2530,12.04%,11.36%,1.60%
2021-09-23,42586451,683572,123879,3236,-16.79%,27.91%,1.61%
2021-09-24,42724694,685814,138243,2242,11.60%,-30.72%,1.61%
2021-09-25,42786913,686584,62219,770,-54.99%,-65.66%,1.60%
2021-09-26,42818186,686838,31273,254,-49.74%,-67.01%,1.60%
2021-09-27,42998679,689627,180493,2789,477.15%,998.03%,1.60%
2021-09-28,43122507,691646,123828,2019,-31.39%,-27.61%,1.60%
2021-09-29,43243073,694142,120566,2496,-2.63%,23.63%,1.61%
2021-09-30,43359314,696932,116241,2790,-3.59%,11.78%,1.61%
2021-10-01,43486655,699203,127341,2271,9.55%,-18.60%,1.61%
2021-10-02,43536866,699918,50211,715,-60.57%,-68.52%,1.61%
2021-10-03,43565267,700188,28401,270,-43.44%,-62.24%,1.61%
2021-10-04,43733742,702603,168475,2415,493.20%,794.44%,1.61%
2021-10-05,43836744,704505,103002,1902,-38.86%,-21.24%,1.61%
2021-10-06,43952606,706738,115862,2233,12.49%,17.40%,1.61%
2021-10-07,44054176,709211,101570,2473,-12.34%,10.75%,1.61%
2021-10-08,44169611,711685,115435,2474,13.65%,0.04%,1.61%
2021-10-09,44213155,712335,43544,650,-62.28%,-73.73%,1.61%
2021-10-10,44236756,712842,23601,507,-45.80%,-22.00%,1.61%
2021-10-11,44353613,713935,116857,1093,395.14%,115.58%,1.61%
2021-10-12,44465950,716720,112337,2785,-3.87%,154.80%,1.61%
2021-10-13,44569764,718776,103814,2056,-7.59%,-26.18%,1.61%
2021-10-14,44658557,720875,88793,2099,-14.47%,2.09%,1.61%
2021-10-15,44758777,722929,100220,2054,12.87%,-2.14%,1.62%
2021-10-16,44799154,723422,40377,493,-59.71%,-76.00%,1.61%
2021-10-17,44816083,723569,16929,147,-58.07%,-70.18%,1.61%
2021-10-18,44932853,725557,116770,1988,589.76%,1252.38%,1.61%
2021-10-19,45010856,727319,78003,1762,-33.20%,-11.37%,1.62%
2021-10-20,45101826,729619,90970,2300,16.62%,30.53%,1.62%
2021-10-21,45180133,731550,78307,1931,-13.92%,-16.04%,1.62%
2021-10-22,45269483,733594,89350,2044,14.10%,5.85%,1.62%
2021-10-23,45304609,734070,35126,476,-60.69%,-76.71%,1.62%
2021-10-24,45321602,734254,16993,184,-51.62%,-61.34%,1.62%
2021-10-25,45415301,735430,93699,1176,451.40%,539.13%,1.62%
2021-10-26,45505068,737588,89767,2158,-4.20%,83.50%,1.62%
2021-10-27,45581103,739580,76035,1992,-15.30%,-7.69%,1.62%
2021-10-28,45676095,741301,94992,1721,24.93%,-13.60%,1.62%
2021-10-29,45766540,743195,90445,1894,-4.79%,10.05%,1.62%
2021-10-30,45801701,743396,35161,201,-61.12%,-89.39%,1.62%
2021-10-31,45819562,743750,17861,354,-49.20%,76.12%,1.62%
2021-11-01,45935921,744723,116359,973,551.47%,174.86%,1.62%
2021-11-02,46008412,746133,72491,1410,-37.70%,44.91%,1.62%
2021-11-03,46099508,747822,91096,1689,25.67%,19.79%,1.62%
2021-11-04,46180002,749012,80494,1190,-11.64%,-29.54%,1.62%
2021-11-05,46272569,751471,92567,2459,15.00%,106.64%,1.62%
2021-11-06,46307863,751901,35294,430,-61.87%,-82.51%,1.62%
2021-11-07,46330344,752050,22481,149,-36.30%,-65.35%,1.62%
2021-11-08,46449148,753308,118804,1258,428.46%,744.30%,1.62%
2021-11-09,46535392,754984,86244,1676,-27.41%,33.23%,1.62%
2021-11-10,46633079,756683,97687,1699,13.27%,1.37%,1.62%
